mcarm_5,mcarm_12,mcarm_3,mcarm_9,mcarm_20,mcarm_21,mcarm_11,mcarm_8,mcarm_2,mcarm_6,mcarm_19,mcarm_16,mcarm_10,mcarm_1,mcarm_13,mcarm_4,mcarm_14,mcarm_18,mcarm_17,mcarm_7,mcarm_15,mcarm_purpose_connection,mcarm_help_seeking,mcarm_beliefs_about_civilians,mcarm_resentment_regret,mcarm_regimentation,mcarm_total,wis_interdependent_11,wis_private_1,wis_family_19,wis_private_4,wis_skills_30,wis_connection_15,wis_private_5,wis_centrality_24,wis_private_7,wis_connection_17,wis_skills_31,wis_interdependent_10,wis_private_2,wis_private_6,wis_public_28,wis_public_27,wis_interdependent_12,wis_family_18,wis_public_26,wis_interdependent_9,wis_skills_29,wis_family_20,wis_centrality_23,wis_centrality_21,wis_interdependent_13,wis_centrality_22,wis_interdependent_8,wis_connection_16,wis_public_25,wis_interdependent_14,wis_private_3,wis_private_regard_total,wis_interdependent_total,wis_connection_total,wis_family_total,wis_centrality_total,wis_public_regard_total,wis_skills_total,wis_total,race_asian,race_native,race_black,race_latino,race_mena,race_pacific,race_white,race_other,race_multiple,race,rank_e1_e3,rank_e4_e6,rank_e7_e9,rank_w1_cw5,rank_o1_o3,rank_o4_o6,sex,sex_4_TEXT,sexual_orientation,sexual_orientation_6_TEXT,sex_female,sex_male,sex_nonbinary,sex_other,sexual_orientation_straight,sexual_orientation_gay,sexual_orientation_bi,sexual_orientation_other,service_era_post_wwii,service_era_korea,service_era_cold_war,service_era_vietnam,service_era_persian_gulf,service_era_post_911,service_era_multiple,service_era,military_exp_combat,military_exp_noncombat,military_exp_support,military_exp_peacekeeping,military_exp_total,military_exp_none,military_exp_any,branch_air_force,branch_army,branch_coast_guard,branch_marines,branch_navy,branch_space_force,branch_public_health,branch_none,branch_multiple,branch,discharge_reason,discharge_other,discharge_medical,discharge_unexpected,disability,disability_percent,enlisted,n_deploy,age_range,education,employment,marital,years_service,years_separation,pc_ptsd_positive_screen,mios_screener,years_of_age
2,1,3,3,5,5,1,3,4,1,5,5,4,4,2,3,2,3,3,4,5,17,14,4,12,21,68,4,4,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,27,28,9,12,16,16,9,117,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.1,1,12,"(54.5,64.5]",High school diploma or equivalent,Retired,Married,23,14,0,0,56
4,5,5,4,4,4,1,5,5,5,2,5,4,5,4,5,3,4,5,5,4,29,18,10,12,19,88,2,3,2,3,2,3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,3,3,3,3,21,18,9,6,11,12,7,84,0,0,1,0,0,0,0,0,0,Black or African American,0,0,1,0,0,0,female,NA,gay,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,1,0.1,1,3,"(34.5,44.5]",Masters degree,Part Time,Divorced,10,6,0,1,43
2,1,4,4,3,2,1,5,5,1,3,4,4,4,2,3,1,2,4,5,2,19,18,4,7,14,62,3,4,2,4,2,3,3,3,4,4,2,3,4,4,2,2,3,3,2,2,4,2,3,3,2,3,3,2,2,2,3,26,18,9,7,12,8,8,88,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.1,1,2,"(44.5,54.5]",Some college,Retired,Married,20,1,0,1,50
5,2,4,1,4,2,4,4,4,4,2,4,4,4,4,4,3,4,4,4,2,25,13,10,9,16,73,2,3,2,4,3,3,3,2,4,2,3,2,4,4,3,3,2,3,3,3,4,3,2,3,2,3,3,3,3,4,4,26,18,8,8,10,12,10,92,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.4,1,20,"(54.5,64.5]",Masters degree,Full Time,Married,23,13,0,0,58
2,4,3,1,3,4,2,3,5,3,2,5,4,3,2,2,2,2,5,2,5,18,10,8,12,16,64,3,4,4,4,4,4,4,2,4,2,4,4,4,4,3,4,4,4,3,4,4,3,1,1,4,4,4,4,4,4,4,28,27,10,11,8,14,12,110,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,0,0,1,4,"(34.5,44.5]",Bachelors degree,Full Time,Married,8,4,1,1,37
5,1,5,4,4,2,3,5,4,2,1,4,5,5,1,4,1,4,5,5,1,25,19,5,6,16,71,4,4,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,28,28,12,9,14,14,12,117,0,0,0,1,0,0,0,0,0,"Hispanic, Latino, or Spanish origin",0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.1,1,9,"(44.5,54.5]",Some college,Retired,Married,21,7,1,1,48
2,1,2,2,4,2,2,5,3,2,3,1,4,4,1,1,1,4,3,4,1,14,15,4,3,16,52,2,3,3,3,4,3,2,2,3,4,4,3,3,4,2,3,4,3,3,3,3,3,4,4,3,3,3,3,2,3,4,22,21,10,9,13,10,11,96,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,1,0.9,1,1,"(44.5,54.5]",Bachelors degree,Retired,Divorced,24,3,1,1,48
5,2,3,1,2,3,2,3,5,1,2,5,5,3,1,3,1,1,4,1,5,20,10,5,11,12,58,2,4,4,4,4,3,4,2,4,4,3,2,4,4,1,2,3,3,1,2,3,2,2,3,2,3,3,3,2,2,3,27,16,10,9,10,6,10,88,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,4,"(54.5,64.5]",Masters degree,Full Time,Married,20,18,0,1,63
3,3,4,2,4,3,1,4,4,4,2,4,4,4,4,4,2,2,3,5,2,23,15,8,8,14,68,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,23,21,9,9,12,13,9,96,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,1,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Medical Discharge,0,1,1,1,0.7,1,5,"(54.5,64.5]",Some college,Unemployed,Married,14,23,0,1,57
5,2,5,1,2,2,2,1,5,5,1,5,5,5,1,5,1,2,5,5,5,30,12,5,11,12,70,3,4,4,4,3,4,4,1,4,4,4,4,4,4,2,4,4,3,4,4,4,4,2,2,4,3,4,4,3,4,4,28,27,12,11,8,13,11,110,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,1,0.8,1,4,"(64.5,74.5]",Bachelors degree,Retired,Married,20,20,0,0,65
2,2,5,1,5,3,2,3,5,4,1,2,5,5,2,5,5,3,2,4,1,26,13,6,8,14,67,3,3,3,4,3,3,2,3,4,2,3,3,3,3,4,4,3,3,3,3,4,1,3,3,1,3,3,4,4,3,3,22,19,9,7,12,15,10,94,0,0,1,0,0,0,0,0,0,Black or African American,0,0,1,0,0,0,male,NA,bisexual,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,1,"(18,34.5]",Associates degree,Full Time,Never married,6,2,1,1,23
3,2,4,2,4,2,3,4,4,2,2,5,5,5,2,4,5,4,5,5,5,22,16,7,15,17,77,2,4,1,4,4,4,4,4,4,4,4,3,4,4,2,3,3,4,4,3,4,3,4,4,4,4,3,4,3,3,4,28,21,12,8,16,12,12,109,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,1,0.1,1,0,"(54.5,64.5]",Masters degree,Retired,Divorced,20,3,0,1,58
5,5,5,5,3,5,3,5,5,3,3,5,5,5,5,5,3,3,5,5,5,28,20,13,13,19,93,3,3,1,3,3,4,4,2,4,4,1,3,3,4,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,24,21,10,6,9,12,7,89,0,0,1,0,0,0,0,0,0,Black or African American,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,1,"(74.5,100]",Associates degree,Retired,Divorced,21,30,0,0,76
5,4,4,4,3,4,2,4,5,5,4,5,5,5,2,5,2,4,5,4,5,29,17,8,12,20,86,2,4,2,3,3,3,4,3,4,3,3,2,4,4,2,3,4,3,3,2,3,2,3,3,2,3,2,3,3,3,3,26,17,9,7,12,11,9,91,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.6,1,5,"(44.5,54.5]",Bachelors degree,Full Time,Married,21,15,0,0,54
3,5,4,1,2,2,1,2,2,2,1,5,4,3,4,3,1,1,2,2,4,17,9,10,10,8,54,3,4,2,4,3,3,4,4,4,4,1,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,28,25,11,10,15,12,8,109,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,Cold War,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,1,"(64.5,74.5]",Bachelors degree,Full Time,Married,29,21,0,1,71
5,1,3,3,2,4,1,1,5,4,2,5,4,5,3,3,1,1,5,5,5,25,13,5,11,14,68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,28,28,12,12,16,5,12,113,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,5,"(74.5,100]",Some college,Retired,Married,26,31,1,0,76
5,5,5,2,1,5,4,4,5,5,2,5,5,5,5,4,3,2,5,2,5,29,13,14,13,15,84,2,4,1,4,3,4,4,2,4,4,3,2,4,4,3,3,2,3,3,3,4,2,3,3,3,3,3,4,3,2,4,28,17,12,6,11,12,10,96,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,1,0.3,1,5,"(64.5,74.5]",Associates degree,Retired,Widowed,22,33,0,0,72
5,4,5,1,4,2,2,4,4,4,4,5,5,5,4,5,4,2,4,5,5,28,15,10,14,16,83,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,2,3,3,4,3,1,4,4,4,22,23,7,9,11,14,9,95,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,2,"(34.5,44.5]",Bachelors degree,Full Time,Married,8,7,0,1,43
5,2,4,2,4,2,2,3,4,3,2,5,3,4,3,4,2,3,4,4,5,24,12,7,12,15,70,3,4,3,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,2,3,4,3,2,4,3,4,3,4,2,3,3,26,21,12,9,14,10,11,103,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,Korea,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,Navy,Voluntary Discharge,0,0,0,0,0,1,40,"(74.5,100]",Some college,Retired,Married,20,50,0,0,88
4,5,4,2,5,5,3,3,3,2,3,5,2,4,5,3,2,5,5,3,5,20,10,13,12,23,78,1,4,1,3,3,4,4,1,4,4,3,1,4,4,3,3,3,3,3,2,4,1,3,2,2,3,3,3,3,4,4,27,16,11,5,9,12,10,90,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,0,"(64.5,74.5]",Some college,Full Time,Married,21,23,0,0,66
4,4,3,3,2,2,2,3,4,4,1,5,4,3,3,4,4,3,5,3,5,22,13,9,14,13,71,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,21,17,9,8,12,12,8,87,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Other,1,0,1,0,0,1,2,"(64.5,74.5]",Bachelors degree,Retired,Never married,20,19,0,1,68
5,3,5,3,4,4,3,5,5,5,4,5,4,5,4,5,4,3,5,5,5,30,17,10,14,20,91,3,4,3,4,3,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,4,2,4,4,3,3,2,4,3,3,4,28,20,12,8,14,12,10,104,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,Army,Other,1,0,1,0,0,1,6,"(74.5,100]",Associates degree,Retired,Widowed,28,36,0,0,79
4,3,4,2,3,4,3,3,4,4,3,5,4,4,4,4,3,4,4,4,4,24,13,10,12,18,77,2,3,3,3,3,3,4,2,4,4,3,3,4,4,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,25,18,10,9,10,12,9,93,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,bisexual,NA,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Cold War,1,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,6,"(74.5,100]",Associates degree,Part Time,Married,21,38,0,0,76
5,5,5,4,4,2,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,30,19,13,14,19,95,3,4,2,4,2,4,4,3,4,4,3,2,4,4,3,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,4,28,21,11,8,14,12,9,103,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,1,"(64.5,74.5]",Bachelors degree,Retired,Married,27,13,0,0,74
5,3,5,5,3,5,3,4,5,5,4,5,5,5,5,4,5,4,4,5,5,29,19,11,15,20,94,2,4,2,3,3,4,4,2,4,4,3,2,4,4,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,26,16,11,7,8,12,9,89,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,Multiple,Service Completed,0,0,0,1,0.3,1,4,"(74.5,100]",High school diploma or equivalent,Retired,Married,30,28,0,0,77
5,3,5,4,2,5,1,1,5,3,3,5,5,4,2,3,2,3,4,5,5,25,15,6,12,17,75,2,3,1,3,1,2,3,2,4,3,2,3,3,4,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,2,3,23,17,7,5,10,11,6,79,0,0,0,0,0,0,0,1,0,"Some other race, ethnicity, or origin",0,0,0,0,1,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,0,1,"(54.5,64.5]",Doctorate,Full Time,Married,8,28,0,1,55
3,4,4,2,3,5,3,3,5,5,4,3,5,3,4,4,4,4,5,3,4,24,13,11,11,21,80,2,3,3,3,2,3,4,2,4,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,23,16,8,8,8,12,7,82,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,0,"(64.5,74.5]",Doctorate,Retired,Widowed,1,42,0,0,71
3,2,4,4,4,2,2,5,2,4,3,2,4,3,3,4,4,4,3,2,2,20,15,7,8,16,66,2,3,1,3,2,2,3,2,3,2,2,2,2,2,3,3,2,3,3,2,3,2,3,3,3,1,1,4,3,3,2,18,15,8,6,9,12,7,75,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,Air Force,Medical Discharge,0,1,1,1,0.4,1,1,"(18,34.5]",Bachelors degree,Student,Married,11,1,1,1,32
2,3,3,2,4,2,2,5,4,4,3,5,5,4,2,2,2,3,4,4,4,19,16,7,11,16,69,3,4,2,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,3,3,4,4,4,4,3,4,2,3,3,4,4,28,21,9,10,15,12,10,105,0,0,0,0,0,0,1,0,0,White,0,0,0,1,0,0,male,NA,bisexual,NA,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.7,0,4,"(44.5,54.5]",Masters degree,Full Time,Married,26,7,0,1,52
3,1,2,2,1,4,3,3,2,3,2,2,4,2,3,2,4,3,1,3,1,14,12,7,7,11,51,2,3,1,3,2,2,3,1,2,2,2,3,1,3,3,2,2,2,3,2,3,2,3,3,1,3,3,3,1,2,3,18,15,7,5,10,9,7,71,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.4,1,0,"(54.5,64.5]",Masters degree,Full Time,Married,3,34,0,1,56
3,1,3,2,3,1,2,3,3,5,2,1,4,4,3,2,1,3,1,4,1,20,13,6,3,10,52,4,1,1,3,2,3,1,3,3,4,2,2,2,1,1,2,3,3,1,2,3,3,3,4,2,3,3,1,1,3,4,15,19,8,7,13,5,7,74,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,0,"(34.5,44.5]",High school diploma or equivalent,Unemployed,Never married,1,15,1,1,35
1,1,2,1,4,2,1,2,4,4,2,4,4,4,1,2,1,3,2,3,1,17,10,3,6,13,49,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,28,27,11,12,16,13,12,119,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,1,"(44.5,54.5]",Associates degree,Full Time,Married,4,7,0,1,45
1,1,4,2,4,4,1,4,4,1,1,5,4,5,1,3,2,2,5,4,5,18,14,3,12,16,63,3,4,4,4,1,3,4,3,4,3,4,4,4,4,3,3,4,4,3,4,4,4,1,4,3,3,3,3,3,4,4,28,25,9,12,11,12,9,106,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,2,"(34.5,44.5]",Bachelors degree,Student,Married,6,8,0,0,35
5,4,5,2,4,4,2,4,5,4,4,5,4,5,4,4,4,4,4,4,5,28,14,10,14,20,86,2,4,2,3,3,3,3,3,4,3,2,2,4,4,2,3,3,3,4,2,3,1,3,4,3,4,2,3,4,2,4,26,16,9,6,14,13,8,92,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.3,1,1,"(44.5,54.5]",Some college,Full Time,Married,10,21,0,0,51
5,2,4,2,4,4,3,3,5,5,2,5,3,5,4,3,5,3,5,4,5,27,12,9,15,18,81,3,4,4,4,4,4,4,3,4,4,3,2,4,4,3,3,3,3,3,3,4,4,4,4,3,4,2,3,3,3,3,27,19,11,11,15,12,11,106,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Voluntary Discharge,0,0,0,0,0,1,10,"(44.5,54.5]",High school diploma or equivalent,Full Time,Married,4,29,0,0,52
