mcarm_5,mcarm_12,mcarm_3,mcarm_9,mcarm_20,mcarm_21,mcarm_11,mcarm_8,mcarm_2,mcarm_6,mcarm_19,mcarm_16,mcarm_10,mcarm_1,mcarm_13,mcarm_4,mcarm_14,mcarm_18,mcarm_17,mcarm_7,mcarm_15,mcarm_purpose_connection,mcarm_help_seeking,mcarm_beliefs_about_civilians,mcarm_resentment_regret,mcarm_regimentation,mcarm_total,wis_interdependent_11,wis_private_1,wis_family_19,wis_private_4,wis_skills_30,wis_connection_15,wis_private_5,wis_centrality_24,wis_private_7,wis_connection_17,wis_skills_31,wis_interdependent_10,wis_private_2,wis_private_6,wis_public_28,wis_public_27,wis_interdependent_12,wis_family_18,wis_public_26,wis_interdependent_9,wis_skills_29,wis_family_20,wis_centrality_23,wis_centrality_21,wis_interdependent_13,wis_centrality_22,wis_interdependent_8,wis_connection_16,wis_public_25,wis_interdependent_14,wis_private_3,wis_private_regard_total,wis_interdependent_total,wis_connection_total,wis_family_total,wis_centrality_total,wis_public_regard_total,wis_skills_total,wis_total,race_asian,race_native,race_black,race_latino,race_mena,race_pacific,race_white,race_other,race_multiple,race,rank_e1_e3,rank_e4_e6,rank_e7_e9,rank_w1_cw5,rank_o1_o3,rank_o4_o6,sex,sex_4_TEXT,sexual_orientation,sexual_orientation_6_TEXT,sex_female,sex_male,sex_nonbinary,sex_other,sexual_orientation_straight,sexual_orientation_gay,sexual_orientation_bi,sexual_orientation_other,service_era_post_wwii,service_era_korea,service_era_cold_war,service_era_vietnam,service_era_persian_gulf,service_era_post_911,service_era_multiple,service_era,military_exp_combat,military_exp_noncombat,military_exp_support,military_exp_peacekeeping,military_exp_total,military_exp_none,military_exp_any,branch_air_force,branch_army,branch_coast_guard,branch_marines,branch_navy,branch_space_force,branch_public_health,branch_none,branch_multiple,branch,discharge_reason,discharge_other,discharge_medical,discharge_unexpected,disability,disability_percent,enlisted,n_deploy,age_range,education,employment,marital,years_service,years_separation,pc_ptsd_positive_screen,mios_screener,years_of_age
2,2,2,2,2,2,1,5,4,1,1,2,5,2,2,2,2,2,1,4,1,13,16,5,5,8,47,4,2,2,3,3,2,2,3,3,1,3,4,3,3,2,2,4,4,4,4,3,2,1,3,3,3,4,1,3,4,4,20,27,4,8,10,11,9,89,1,1,1,0,0,0,1,0,1,Multiple,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,1,0.2,1,2,"(64.5,74.5]",Some college,Part Time,Married,4,35,1,1,65
5,5,5,3,4,5,3,4,4,3,5,5,4,5,5,5,2,4,5,4,5,27,15,13,12,23,90,3,4,2,4,2,4,4,3,4,3,4,2,4,4,2,4,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,28,23,11,8,14,12,10,106,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,1,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.3,1,10,"(64.5,74.5]",Associates degree,Retired,Married,20,28,0,0,69
5,5,5,5,4,5,2,4,3,4,4,5,5,5,4,5,5,3,5,5,5,27,19,11,15,21,93,2,3,2,3,2,3,4,2,4,4,3,1,4,4,3,3,3,3,3,2,3,2,4,2,3,3,2,4,3,2,3,25,15,11,7,11,12,8,89,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,0,"(54.5,64.5]",Associates degree,Full Time,Married,8,32,0,0,57
5,2,5,2,4,4,2,4,5,5,4,2,4,5,2,5,2,4,2,4,2,30,14,6,6,18,74,2,4,2,3,1,2,3,2,4,3,2,2,3,4,3,3,3,4,3,2,4,3,3,2,1,3,2,3,3,3,4,25,15,8,9,10,12,7,86,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Air Force,Voluntary Discharge,0,0,0,0,0,1,0,"(18,34.5]",Some college,Unemployed,Married,1,13,0,1,32
2,5,5,5,4,2,5,2,4,5,2,1,5,4,5,5,2,2,5,4,5,25,16,15,8,15,79,4,3,1,3,2,4,4,4,4,4,3,1,2,3,1,3,3,3,3,4,4,1,1,3,2,3,3,4,1,3,3,22,20,12,5,11,8,9,87,1,0,0,0,0,0,0,0,0,Asian,0,0,0,0,1,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,0,0,0,2,"(18,34.5]",Bachelors degree,Part Time,Never married,6,2,0,0,23
4,3,4,2,4,4,2,3,5,5,3,2,4,5,2,2,2,5,2,4,3,25,13,7,7,18,70,2,3,3,3,2,4,3,2,4,3,1,2,2,3,3,3,4,3,4,2,3,3,3,3,4,3,3,3,4,3,4,22,20,10,9,11,14,6,92,0,0,1,0,0,0,0,0,0,Black or African American,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,Marines,Voluntary Discharge,0,0,0,0,0,1,2,"(54.5,64.5]",Some college,Unemployed,Divorced,4,36,0,1,59
2,2,4,2,3,3,3,3,2,3,3,2,4,3,2,4,2,2,4,4,4,18,13,7,8,15,61,3,4,4,4,4,3,4,3,4,4,4,3,4,4,2,3,3,3,3,3,4,3,4,4,4,4,3,4,3,3,4,28,22,11,10,15,11,12,109,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,2,"(54.5,64.5]",High school diploma or equivalent,Retired,Married,4,40,0,0,63
2,1,4,1,4,1,1,5,5,4,1,4,4,2,2,5,1,1,5,4,4,22,14,4,9,12,61,4,3,3,4,2,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,25,27,11,11,15,12,9,110,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.1,1,0,"(44.5,54.5]",Associates degree,Full Time,Married,8,19,0,1,49
5,3,5,5,3,5,3,5,1,3,5,5,5,5,3,5,5,5,5,5,5,24,20,9,15,23,91,3,4,1,2,3,3,3,3,3,4,2,1,3,1,3,4,4,3,3,3,2,2,3,3,2,3,3,2,3,3,3,19,19,9,6,12,13,7,85,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,3,"(54.5,64.5]",Masters degree,Full Time,Divorced,3,36,0,0,60
3,1,4,5,3,2,3,5,4,5,2,1,5,5,2,3,1,2,1,5,1,24,20,6,3,10,63,3,3,4,2,3,2,2,2,3,3,2,2,2,3,2,2,4,4,2,4,3,3,2,3,2,3,4,3,2,3,4,19,22,8,11,10,8,8,86,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Navy,Voluntary Discharge,0,0,0,0,0,1,0,"(54.5,64.5]",Associates degree,Unemployed,Never married,1.5,42,0,1,62
5,2,4,1,4,4,3,2,4,3,2,5,4,4,2,2,1,2,3,2,5,22,9,7,11,15,64,3,4,2,4,3,4,3,2,4,4,1,2,4,4,2,2,3,3,2,2,4,1,3,4,3,3,2,4,2,3,4,27,18,12,6,12,8,8,91,0,0,0,0,0,0,0,1,0,"Some other race, ethnicity, or origin",0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,Cold War,1,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,6,"(64.5,74.5]",Some college,Retired,Divorced,11,38,0,0,68
5,5,5,4,2,5,2,5,5,5,2,5,5,5,4,5,5,5,5,5,5,30,19,11,15,19,94,2,4,3,4,2,4,4,1,4,4,1,1,4,4,4,4,3,3,4,3,4,3,2,3,2,4,1,3,4,4,4,28,16,11,9,10,16,7,97,0,0,0,0,0,0,1,0,0,White,0,0,0,0,1,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,0,0,"(54.5,64.5]",Bachelors degree,Retired,Married,9,30,0,1,58
2,2,2,2,4,4,2,4,2,3,2,4,3,4,2,2,2,2,4,4,4,15,13,6,10,16,60,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,2,3,3,21,21,9,9,10,8,9,87,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.7,1,2,"(54.5,64.5]",Some college,Retired,Divorced,6,33,0,0,58
4,3,4,4,3,4,3,4,4,4,3,3,3,4,3,4,3,3,4,4,3,24,15,9,9,17,74,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,3,21,20,7,9,9,12,7,85,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,0,"(18,34.5]",Bachelors degree,Full Time,Married,5,10,0,0,31
1,1,1,2,3,2,2,5,2,4,2,2,4,1,2,1,2,3,2,4,1,10,15,5,5,12,47,2,2,1,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,2,3,16,17,6,6,11,12,8,76,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.8,1,1,"(34.5,44.5]",Masters degree,Irregular,Never married,9,12,1,1,42
5,5,5,3,3,3,3,5,5,5,3,5,3,5,2,5,3,2,5,4,5,30,15,10,13,16,84,4,4,2,4,3,4,4,2,4,4,3,3,4,4,2,4,4,3,4,3,4,3,3,3,2,3,2,3,3,3,4,28,21,11,8,11,13,10,102,0,0,0,1,0,0,0,0,0,"Hispanic, Latino, or Spanish origin",0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,1,1,1,1,4,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,5,"(54.5,64.5]",Bachelors degree,Full Time,Married,8,29,0,0,57
2,3,3,2,4,2,3,3,3,5,3,4,5,4,5,4,1,4,1,5,2,21,15,11,7,14,68,3,4,3,3,3,2,4,1,4,2,3,3,3,4,3,3,3,2,3,2,3,1,1,1,3,3,3,3,3,3,3,25,20,7,6,6,12,9,85,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Other,1,0,1,0,0,1,1,"(54.5,64.5]",Some college,Full Time,Married,9,18,0,1,55
4,2,4,1,4,4,2,2,4,2,2,4,3,4,2,4,4,3,5,4,3,22,10,6,11,18,67,2,4,3,3,4,3,4,3,4,3,3,2,4,4,3,3,3,3,3,3,3,2,4,2,3,3,3,3,3,4,4,27,20,9,8,12,12,10,98,0,1,0,0,0,0,0,0,0,American Indian or Alaska Native,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Air Force,Voluntary Discharge,0,0,0,0,0,1,0,"(44.5,54.5]",Associates degree,Full Time,Married,8,26,0,0,54
5,5,5,3,5,5,2,5,5,4,1,3,2,1,4,1,1,5,5,3,5,21,13,11,9,21,75,1,4,4,4,4,4,4,1,4,4,1,1,4,4,2,4,2,3,4,1,4,2,3,4,1,3,2,3,1,4,4,28,12,11,9,11,11,9,91,0,0,1,0,0,0,0,0,0,Black or African American,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,2,"(34.5,44.5]",High school diploma or equivalent,Unemployed,Never married,5,20,0,0,44
5,5,5,4,4,5,2,5,5,4,2,5,5,5,2,5,2,4,5,5,2,29,19,9,9,20,86,2,4,2,3,2,3,3,2,4,4,4,2,4,4,3,3,3,4,3,3,4,2,3,3,3,4,3,2,3,3,3,25,19,9,8,12,12,10,95,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,Cold War,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.8,1,10,"(74.5,100]",High school diploma or equivalent,Retired,Married,22,34,0,1,78
2,3,2,2,3,2,5,3,4,3,4,4,3,3,5,2,2,4,2,2,2,16,10,13,8,15,62,3,4,3,2,1,3,2,2,4,3,3,2,4,4,2,4,3,3,3,3,3,2,1,2,3,3,3,2,3,3,2,22,20,8,8,8,12,7,85,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.8,1,1,"(34.5,44.5]",Bachelors degree,Full Time,Married,8,10,0,1,40
4,2,4,1,2,3,2,5,4,5,1,3,5,5,3,2,4,2,3,4,3,24,15,7,10,11,67,2,3,1,2,2,4,1,1,3,2,2,3,3,3,2,2,3,3,4,3,3,2,2,3,2,2,4,4,2,3,3,18,20,10,6,8,10,7,79,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Marines,Medical Discharge,0,1,1,1,0.1,1,0,"(34.5,44.5]",Some college,Unemployed,Never married,2,14,0,0,35
4,3,4,2,2,3,2,4,5,5,2,3,4,5,3,4,2,2,3,4,2,27,14,8,7,12,68,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,21,19,9,8,12,9,8,86,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,Cold War,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,0,0,1,2,"(64.5,74.5]",Bachelors degree,Retired,Married,4,50,0,1,70
3,1,5,1,3,2,2,2,4,4,1,2,4,4,1,4,1,2,4,3,3,24,10,4,6,12,56,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,3,4,2,4,4,4,3,3,3,4,4,3,2,3,3,27,24,11,12,13,8,12,107,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Persian Gulf: Pre-9/11,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,Marines,Medical Discharge,0,1,1,1,0.2,1,2,"(44.5,54.5]",Some college,Full Time,Married,4.5,25,0,0,49
3,3,4,3,3,3,2,4,4,4,3,5,4,4,4,5,4,3,5,4,5,24,15,9,14,17,79,3,4,3,3,3,3,4,4,4,3,1,3,4,4,3,3,3,3,2,3,4,3,4,3,3,4,3,3,2,4,4,27,22,9,9,15,10,8,100,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Marines,Voluntary Discharge,0,0,0,0,0,1,0,"(54.5,64.5]",High school diploma or equivalent,Full Time,Married,4,35,0,0,57
5,2,5,2,4,4,2,4,5,5,2,5,4,4,2,2,2,2,5,4,5,26,14,6,12,17,75,3,4,2,4,2,3,4,2,3,4,3,2,4,4,2,2,3,3,3,3,4,3,3,3,2,4,2,4,2,3,4,27,18,11,8,12,9,9,94,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,1,"(54.5,64.5]",Some college,Full Time,Divorced,8,29,0,0,56
1,1,3,1,4,2,1,5,4,4,2,5,4,2,2,4,1,3,4,3,4,18,13,4,10,15,60,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,28,12,12,16,14,12,122,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,gay,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.9,1,4,"(34.5,44.5]",Associates degree,Full Time,Divorced,11,10,1,1,39
5,5,5,4,4,2,3,4,5,5,2,5,5,5,3,5,2,3,4,5,5,30,18,11,12,15,86,3,3,2,3,3,3,4,2,4,4,3,2,4,4,3,3,3,3,3,2,3,2,3,3,2,3,2,3,3,3,3,25,17,10,7,11,12,9,91,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Persian Gulf: Pre-9/11,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,1,"(54.5,64.5]",Masters degree,Full Time,Married,4,26,0,1,55
5,5,4,2,4,2,1,5,4,4,2,5,4,4,4,4,5,2,5,4,5,25,15,10,15,15,80,2,4,3,4,3,4,4,3,4,3,4,4,4,4,3,3,2,4,3,4,4,4,4,4,3,4,3,3,4,4,4,28,22,10,11,15,13,11,110,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,1,0.2,1,1,"(34.5,44.5]",Bachelors degree,Full Time,Married,6,10,1,1,36
5,4,5,4,4,4,2,4,4,5,4,5,4,5,2,5,2,4,3,4,4,29,16,8,11,19,83,2,4,2,3,2,3,4,2,4,3,2,2,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,25,17,9,7,8,12,7,85,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Navy,Medical Discharge,0,1,1,1,0.7,1,0,"(44.5,54.5]",Bachelors degree,Full Time,Married,5,29,0,0,54
4,3,5,2,3,5,5,5,4,4,4,2,1,3,5,4,3,3,3,2,3,24,10,13,8,18,73,1,3,1,1,2,4,3,2,3,3,1,2,3,3,2,3,2,3,2,2,3,2,3,3,2,3,1,1,3,3,4,20,13,8,6,11,10,6,74,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Air Force,Other,1,0,1,0,0,1,0,"(44.5,54.5]",High school diploma or equivalent,Full Time,Widowed,4,30,0,0,52
5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,3,5,5,5,30,20,13,15,22,100,4,4,2,4,2,4,4,3,4,4,3,2,4,4,4,4,4,3,4,2,4,2,4,3,1,4,3,3,4,4,4,28,20,11,7,14,16,9,105,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,1,"(44.5,54.5]",Some college,Full Time,Married,6,23,0,0,48
1,1,3,3,3,1,1,4,3,2,3,3,4,3,1,2,1,3,1,5,1,14,16,3,5,11,49,3,3,1,2,3,1,1,1,1,1,2,2,1,1,3,2,2,3,2,2,3,3,2,2,3,3,2,1,2,1,2,11,15,3,7,8,9,8,61,0,0,0,1,0,0,0,0,0,"Hispanic, Latino, or Spanish origin",0,1,0,0,0,0,female,NA,bisexual,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,1,"(18,34.5]",Some college,Unemployed,Married,4,2,1,1,24
3,2,3,1,3,2,1,5,5,3,2,5,5,5,1,3,1,3,5,4,3,22,15,4,9,15,65,4,4,4,3,4,4,4,2,4,4,3,3,4,4,2,2,4,3,2,3,4,3,4,4,4,4,4,4,3,4,4,27,26,12,10,14,9,11,109,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.1,1,1,"(54.5,64.5]",High school diploma or equivalent,Retired,Married,8,33,0,0,55
4,1,3,2,1,2,3,5,5,4,1,2,2,3,2,2,1,2,3,4,2,21,13,6,5,9,54,2,1,2,1,1,2,3,1,3,4,1,2,3,2,1,1,3,2,1,3,3,1,1,1,2,1,3,1,1,3,4,17,18,7,5,4,4,5,60,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,bisexual,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Air Force,Voluntary Discharge,0,0,0,0,0,1,1,"(18,34.5]",Some college,Multiple,Never married,8,7,0,1,34
3,5,4,2,5,2,1,5,4,2,2,5,5,4,2,4,4,4,2,5,5,21,17,8,14,15,75,1,4,2,4,1,4,4,2,4,1,1,2,3,4,3,4,3,4,4,3,4,4,3,3,2,2,1,4,3,1,3,26,13,9,10,10,14,6,88,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Medical Discharge,0,1,1,0,0,1,1,"(18,34.5]",Bachelors degree,Full Time,Married,5,7,0,1,31
3,3,2,2,4,3,3,4,2,3,2,2,2,4,1,2,1,3,1,2,2,16,10,7,5,13,51,3,3,4,3,2,3,3,2,3,3,4,4,3,3,2,1,2,4,2,4,3,4,3,3,3,3,4,3,2,4,3,21,24,9,12,11,7,9,93,0,0,1,0,0,0,0,0,0,Black or African American,1,0,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,0,0,1,0,"(34.5,44.5]",Some college,Unemployed,Married,2,18,1,0,43
5,5,4,3,4,5,2,4,5,4,2,5,5,5,4,5,2,4,5,4,5,28,16,11,12,20,87,2,3,2,3,2,3,4,2,4,4,3,2,3,3,3,4,3,2,3,2,3,2,2,2,2,2,2,3,3,2,3,23,15,10,6,8,13,8,83,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,Cold War,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,0,"(64.5,74.5]",Masters degree,Retired,Married,6,45,0,0,71
4,1,1,1,1,5,5,3,5,4,3,2,3,5,5,1,5,2,2,3,2,20,10,11,9,13,63,1,3,1,3,1,1,3,1,3,4,1,1,3,3,4,4,1,3,4,1,2,1,1,1,1,1,1,2,4,2,3,21,8,7,5,4,16,4,65,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,female,NA,other,Asexual,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Post-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Voluntary Discharge,0,0,0,0,0,1,9,"(34.5,44.5]",Some college,Unemployed,Never married,4,13,0,1,36
5,5,1,5,3,3,3,4,3,4,4,5,5,4,3,3,4,3,5,3,5,20,17,11,14,18,80,2,4,1,1,1,3,4,3,4,4,2,2,4,4,4,4,4,2,4,4,4,2,4,4,4,3,3,3,2,2,4,25,21,10,5,14,14,7,96,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.3,1,1,"(54.5,64.5]",Masters degree,Full Time,Married,20,15,0,0,64
